Designator,Mid X,Mid Y,Rotation,Layer
C1,140.8,-109.7,180.0,top
C15,154.2,-94.2875,0.0,top
C16,154.4,-96.1125,0.0,top
C17,137.9,-93.8875,0.0,top
C18,138.1,-95.6875,0.0,top
C2,149.0875,-109.7,0.0,top
C25,116.0,-92.6,90.0,top
C26,116.8,-109.8,90.0,top
C27,116.5,-100.1,90.0,top
C28,114.2,-92.8,90.0,top
C29,115.0,-110.04,90.0,top
C3,117.775,-86.7,270.0,top
C30,114.7,-100.3,90.0,top
C4,147.5,-86.4,270.0,top
C5,119.675,-86.654723,270.0,top
C6,151.0,-86.5,270.0,top
C7,121.275,-86.7,270.0,top
C8,149.4,-86.5,270.0,top
H1,114.4,-76.4,0.0,top
H2,114.4,-121.6,0.0,top
H3,159.6,-76.4,0.0,top
H4,159.6,-121.6,0.0,top
HS1,140.9,-100.4,0.0,bottom
J1,126.75,-121.55,0.0,top
J2,147.4,-118.4,0.0,top
LD1,122.1,-79.6,180.0,top
LD2,137.05,-79.6,180.0,top
LD3,152.0,-79.6,180.0,top
R1,126.3,-87.3,0.0,top
R10,125.9,-103.736364,180.0,top
R11,125.9,-111.972727,180.0,top
R12,125.9,-110.4,180.0,top
R13,125.9,-108.827272,180.0,top
R14,125.9,-100.590909,180.0,top
R15,125.925,-99.018182,180.0,top
R16,125.925,-97.445455,180.0,top
R17,125.9,-95.872727,180.0,top
R18,125.9,-94.3,180.0,top
R19,125.9,-102.163636,180.0,top
R2,141.0,-87.3,0.0,top
R20,115.1,-113.74,180.0,top
R21,114.9,-104.2,180.0,top
R22,114.9,-105.7,0.0,top
R3,155.9,-87.3,0.0,top
R4,153.4,-98.7875,90.0,top
R5,136.2,-97.5,180.0,top
R6,154.2,-92.7125,0.0,top
R7,137.9,-92.3875,0.0,top
R8,125.9,-107.254545,180.0,top
R9,125.9,-105.309091,180.0,top
U1,146.7875,-94.3,90.0,top
U2,131.9,-94.3,90.0,top
U3,119.2,-95.7,270.0,top
U4,120.1,-112.74,270.0,top
U5,119.9,-103.1,270.0,top
